subj,cond,block,trial,key1,key2,sim,mystery
EDp,C,0,0,s_f105_pi,s_f105_ki,0.700,4.054
EDp,C,0,1,s_m102_ru,s_m102_yu,0.576,2.611
EDp,C,0,2,s_m107_xtxw,s_m107_pxw,0.964,2.448
EDp,C,0,3,s_m104_do,s_m104_zo,-0.372,2.493
EDp,C,0,4,s_m111_xzc,s_m111_wc,0.424,1.638
EDp,C,0,5,s_f105_dxe,s_f105_kxe,-0.344,2.373
EDp,C,0,6,s_f101_gxo,s_f101_wxo,0.000,1.644
EDp,C,0,7,s_m104_no,s_m104_zo,0.724,2.661
EDp,C,0,8,s_m112_xde,s_m112_xse,0.348,2.834
EDp,C,0,9,s_m107_xjxq,s_m107_hxq,0.904,2.350
EDp,C,0,10,s_f108_lu,s_f108_ru,0.328,3.666
EDp,C,0,11,s_m104_fa,s_m104_ya,-0.584,2.105
EDp,C,0,12,s_m104_bu,s_m104_nu,0.884,3.215
EDp,C,0,13,s_f106_vxy,s_f106_lxy,0.948,2.869
EDp,C,0,14,s_f113_fxw,s_f113_bxw,0.972,2.443
EDp,C,0,15,s_m112_gxq,s_m112_nxq,0.496,3.025
EDp,C,0,16,s_m114_kxy,s_m114_mxy,0.808,1.788
EDp,C,0,17,s_m111_zxi,s_m111_hxi,0.412,1.490
EDp,C,0,18,s_f101_kxr,s_f101_xtxr,-0.660,1.721
EDp,C,0,19,s_m114_xzxq,s_m114_zxq,-0.208,1.735
EDp,C,0,20,s_m112_se,s_m112_me,0.688,1.961
EDp,C,0,21,s_m107_ve,s_m107_pe,0.456,1.503
EDp,C,0,22,s_f103_dxi,s_f103_sxi,0.036,3.531
EDp,C,0,23,s_m114_lxw,s_m114_mxw,0.292,2.249
EDp,C,0,24,s_f103_xsxy,s_f103_vxy,0.376,2.663
EDp,C,0,25,s_m104_ho,s_m104_ko,0.272,1.818
EDp,C,0,26,s_m110_nxe,s_m110_xcxe,0.668,2.565
EDp,C,0,27,s_m104_su,s_m104_ru,-0.384,1.823
EDp,C,0,28,s_m112_xtxu,s_m112_zxu,-0.580,2.399
EDp,C,0,29,s_f105_bo,s_f105_xso,-0.276,1.783
EDp,C,0,30,s_m110_xtxo,s_m110_mxo,0.356,3.202
EDp,C,0,31,s_f105_lo,s_f105_zo,-0.152,2.519
EDp,C,0,32,s_m107_yc,s_m107_zc,-0.324,2.219
EDp,C,0,33,s_f105_pxr,s_f105_xzxr,0.000,8.449
EDp,C,0,34,s_m112_fc,s_m112_xdc,-0.540,2.935
EDp,C,0,35,s_m107_he,s_m107_ge,-0.316,2.129
EDp,C,0,36,s_f109_fa,s_f109_ta,0.000,1.935
EDp,C,0,37,s_f108_lxo,s_f108_xzxo,0.864,1.711
EDp,C,0,38,s_f101_zo,s_f101_ro,0.000,1.434
EDp,C,0,39,s_m111_ge,s_m111_fe,0.000,3.644
EDp,C,0,40,s_m102_wxr,s_m102_kxr,0.000,6.980
EDp,C,0,41,s_f105_xzxr,s_f105_gxr,-0.444,1.803
EDp,C,0,42,s_m102_gu,s_m102_lu,0.000,1.939
EDp,C,0,43,s_m102_fxe,s_m102_zxe,-0.644,2.292
EDp,C,0,44,s_f109_wa,s_f109_fa,-0.300,3.842
EDp,C,0,45,s_f108_hu,s_f108_du,0.432,2.608
EDp,C,0,46,s_f105_nxe,s_f105_lxe,-0.460,3.433
EDp,C,0,47,s_f101_ba,s_f101_da,0.412,2.065
EDp,C,0,48,s_m104_su,s_m104_bu,0.000,2.757
EDp,C,0,49,s_m107_hc,s_m107_vc,-0.472,8.238
EDp,C,0,50,s_f108_xco,s_f108_xjo,-0.704,2.190
EDp,C,0,51,s_f113_vxu,s_f113_wxu,0.412,3.179
EDp,C,0,52,s_f105_xda,s_f105_xza,0.520,5.202
EDp,C,0,53,s_f109_rxe,s_f109_bxe,-0.436,2.701
EDp,C,0,54,s_f109_xci,s_f109_xzi,0.380,2.834
EDp,C,0,55,s_m104_lxr,s_m104_xcxr,0.416,5.467
EDp,C,0,56,s_f108_wo,s_f108_xso,0.000,1.429
EDp,C,0,57,s_f103_xdc,s_f103_dc,0.484,2.587
EDp,C,0,58,s_f103_txw,s_f103_sxw,0.000,2.605
EDp,C,0,59,s_f105_do,s_f105_po,-0.364,2.811
EDp,C,0,60,s_f105_nxo,s_f105_dxo,-0.936,2.554
EDp,C,0,61,s_m107_txy,s_m107_dxy,-0.952,3.108
EDp,C,0,62,s_f105_nu,s_f105_ru,-0.540,8.021
EDp,C,0,63,s_f106_xsxy,s_f106_xtxy,0.532,1.911
EDp,C,0,64,s_f105_xji,s_f105_vi,0.508,4.443
EDp,C,0,65,s_f109_gu,s_f109_tu,0.956,3.039
EDp,C,0,66,s_f108_lxe,s_f108_bxe,0.560,2.956
EDp,C,0,67,s_f106_gxi,s_f106_bxi,-0.812,3.266
EDp,C,0,68,s_m111_sxw,s_m111_yxw,-0.216,2.289
EDp,C,0,69,s_f113_be,s_f113_we,-0.484,6.277
EDp,C,0,70,s_f113_xsxy,s_f113_yxy,-0.428,3.049
EDp,C,0,71,s_f109_vxr,s_f109_xtxr,-0.152,1.909
EDp,C,0,72,s_m112_xzc,s_m112_kc,0.976,2.788
EDp,C,0,73,s_m114_rxq,s_m114_gxq,0.448,2.093
EDp,C,0,74,s_m102_ma,s_m102_ta,-0.240,2.430
EDp,C,0,75,s_m102_xsxo,s_m102_xcxo,-0.688,2.191
EDp,C,0,76,s_f103_ve,s_f103_fe,-0.992,3.278
EDp,C,0,77,s_f101_xso,s_f101_ko,0.000,2.358
EDp,C,0,78,s_f109_zxo,s_f109_xsxo,0.224,3.345
EDp,C,0,79,s_f103_vxi,s_f103_bxi,-0.512,4.424
EDp,C,0,80,s_m114_xjc,s_m114_bc,-0.344,2.001
EDp,C,0,81,s_m104_kxr,s_m104_xjxr,-0.748,2.250
EDp,C,0,82,s_f113_he,s_f113_me,0.496,1.860
EDp,C,0,83,s_f101_vxr,s_f101_nxr,0.876,2.192
EDp,C,0,84,s_f108_si,s_f108_ni,-0.384,1.910
EDp,C,0,85,s_f113_xcc,s_f113_xdc,0.408,1.777
EDp,C,0,86,s_f109_ho,s_f109_po,0.820,3.430
EDp,C,0,87,s_f113_fxy,s_f113_xtxy,0.000,1.510
EDp,C,0,88,s_f113_txw,s_f113_nxw,0.952,2.625
EDp,C,0,89,s_m112_rxq,s_m112_kxq,-0.736,2.575
EDp,C,0,90,s_m114_yxi,s_m114_kxi,0.256,2.130
EDp,C,0,91,s_m102_wxo,s_m102_xtxo,0.468,2.494
EDp,C,0,92,s_f109_vxo,s_f109_dxo,-0.356,3.677
EDp,C,0,93,s_f103_lxq,s_f103_xtxq,-0.836,2.316
EDp,C,0,94,s_m110_di,s_m110_li,0.000,1.527
EDp,C,0,95,s_m110_xzxr,s_m110_mxr,0.416,2.249
EDp,C,0,96,s_m112_nxi,s_m112_xsxi,0.000,2.694
EDp,C,0,97,s_f108_rxo,s_f108_hxo,-0.300,2.540
EDp,C,0,98,s_m110_wu,s_m110_nu,0.568,1.841
EDp,C,0,99,s_m107_kxq,s_m107_vxq,-0.348,1.960
EDp,C,0,100,s_f101_xdxe,s_f101_nxe,0.000,2.331
EDp,C,0,101,s_m102_mi,s_m102_vi,0.000,2.795
EDp,C,0,102,s_f113_tc,s_f113_vc,0.368,7.517
EDp,C,0,103,s_m102_go,s_m102_xco,0.268,4.270
EDp,C,0,104,s_m102_do,s_m102_mo,0.736,2.945
EDp,C,0,105,s_f109_xjo,s_f109_ro,0.000,1.085
EDp,C,0,106,s_m112_sxw,s_m112_pxw,0.624,2.492
EDp,C,0,107,s_f113_ne,s_f113_ye,0.920,2.890
EDp,C,0,108,s_m111_fxq,s_m111_xzxq,0.936,2.061
EDp,C,0,109,s_m107_hxu,s_m107_xsxu,-0.236,2.508
EDp,C,0,110,s_m111_txq,s_m111_kxq,0.260,1.889
EDp,C,0,111,s_m107_xzxy,s_m107_xsxy,-0.976,2.537
EDp,C,0,112,s_m114_xte,s_m114_se,0.000,2.190
EDp,C,0,113,s_m107_rxy,s_m107_xtxy,-0.600,2.894
