gender id vowel F1 F2 F3 Dur
m 01 ae 663 2012 2659 323
m 02 ae 628 1871 2477 250
m 03 ae 605 1812 2570 344
m 04 ae 627 1910 2488 312
m 06 ae 647 1864 2561 254
m 07 ae 582 1999 2567 254
m 08 ae 602 1880 2539 289
m 09 ae 545 1872 2630 339
m 10 ae 552 2027 2737 282
m 11 ae 629 1871 2574 319
m 13 ae 685 1807 2611 279
m 14 ae 559 1983 2560 272
m 16 ae 544 1819 2511 212
m 17 ae 685 1592 2308 257
m 18 ae 514 2031 2815 264
m 19 ae 612 1937 2605 244
m 20 ae 544 2114 2971 286
m 21 ae 556 1854 2679 252
m 22 ae 619 2023 2716 249
m 23 ae 601 1997 2499 274
m 24 ae 572 2072 2648 270
m 25 ae 546 1820 2548 301
m 26 ae 562 1895 2513 259
m 27 ae 594 2000 2550 257
m 28 ae 662 1934 2649 212
m 29 ae 566 2041 2500 241
m 30 ae 559 1873 2509 302
m 31 ae 579 1982 2639 208
m 32 ae 623 1937 2526 208
m 33 ae 555 1996 2609 328
m 34 ae 555 1849 2502 267
m 35 ae 634 1730 2456 326
m 36 ae 570 1856 2630 270
m 37 ae 614 1768 2393 207
m 38 ae 553 2140 2327 213
m 39 ae 605 2002 2666 311
m 40 ae 597 1989 2677 273
m 41 ae 561 1772 2597 230
m 42 ae 615 1885 2709 334
m 44 ae 577 1952 2588 276
m 45 ae 629 2436 3022 283
m 47 ae 511 1811 2529 292
m 48 ae 590 1830 2512 245
m 49 ae 622 1957 2841 266
m 50 ae 565 2055 2575 289
w 01 ae 678 2293 2861 305
w 02 ae 624 2442 3091 486
w 03 ae 666 2370 2814 293
w 04 ae 743 2230 3055 353
w 05 ae 677 2320 2987 338
w 06 ae 627 2266 2875 362
w 07 ae 690 2327 2771 313
w 08 ae 658 2650 3471 284
w 09 ae 685 2299 2930 253
w 10 ae 621 2249 2873 356
w 11 ae 868 2004 2797 385
w 12 ae 682 2486 3207 355
w 13 ae 668 2252 2790 315
w 14 ae 726 2350 2996 272
w 15 ae 620 2316 2849 400
w 16 ae 634 2596 3255 356
w 17 ae 672 2145 2764 323
w 19 ae 698 2339 3075 363
w 20 ae 586 2299 2748 307
w 21 ae 616 2156 2865 382
w 22 ae 576 2429 3101 338
w 23 ae 674 2256 2818 365
w 24 ae 738 2378 3305 331
w 25 ae 646 2406 3283 461
w 26 ae 746 1944 2927 346
w 27 ae 734 2518 3176 272
w 28 ae 662 2276 2955 260
w 29 ae 696 2447 3122 333
w 30 ae 687 2378 2913 310
w 31 ae 645 2154 3139 364
w 32 ae 626 2374 2836 239
w 33 ae 689 2701 3490 261
w 34 ae 557 2586 3202 277
w 35 ae 668 2296 2711 328
w 36 ae 746 2371 2984 413
w 37 ae 893 2070 3024 405
w 38 ae 665 2408 3034 294
w 39 ae 564 2442 NaN 365
w 40 ae 714 2254 2625 301
w 41 ae 625 2594 3146 301
w 42 ae 552 2227 2978 312
w 44 ae 685 2205 2813 353
w 45 ae 657 2192 2654 333
w 46 ae 649 2508 3050 365
w 47 ae 817 2102 2711 327
w 48 ae 626 2331 2826 310
w 49 ae 706 2400 2923 319
w 50 ae 751 2432 2896 357
b 01 ae 630 2423 3166 257
b 02 ae 829 2495 3218 359
b 03 ae 631 2801 3508 335
b 04 ae 712 2608 3247 398
b 05 ae 748 2589 3042 267
b 07 ae 769 2203 3126 323
b 08 ae 870 2281 3077 316
b 09 ae 709 2565 3526 245
b 10 ae 634 2555 3121 396
b 11 ae 630 2509 3112 298
b 12 ae 736 2505 3332 415
b 13 ae 634 2535 3260 281
b 14 ae 697 2418 3371 314
b 15 ae 607 2620 3350 382
b 16 ae 753 2227 3064 367
b 17 ae 726 2231 2932 352
b 18 ae 741 2444 3043 307
b 19 ae 674 2663 3243 312
b 21 ae 769 2234 2910 352
b 22 ae 678 2524 3418 256
b 23 ae 809 2592 3331 346
b 24 ae 545 2690 NaN 216
b 25 ae 669 2440 NaN 284
b 26 ae 643 2434 3326 451
b 27 ae 634 2410 3303 243
b 28 ae 676 2253 3121 284
b 29 ae 860 2503 3002 291
g 01 ae 741 2433 3341 295
g 02 ae 729 2878 3792 283
g 04 ae 932 2523 3644 385
g 05 ae 682 2638 3510 456
g 06 ae 799 2397 3125 292
g 07 ae 722 2418 3017 341
g 08 ae 695 2704 3731 384
g 09 ae 758 2373 3327 382
g 10 ae 946 2540 3229 311
g 11 ae 648 2334 2834 353
g 12 ae 730 2668 3564 322
g 13 ae 752 2501 NaN 301
g 14 ae 717 2313 3150 306
g 15 ae 888 2605 3651 354
g 17 ae 727 2394 3320 308
g 18 ae 591 2632 NaN 317
g 19 ae 747 2703 3829 238
g 20 ae 672 2484 3492 290
g 21 ae 555 2569 3424 250
m 01 ah 813 1283 2687 316
m 02 ah 749 1060 2842 249
m 03 ah 755 1133 2695 373
m 04 ah 832 1222 2624 302
m 06 ah 871 1204 2595 230
m 07 ah 786 1341 2403 265
m 08 ah 748 1293 2446 302
m 09 ah 738 1394 2522 330
m 10 ah 763 1147 2840 271
m 11 ah 829 1444 2241 321
m 13 ah 825 1429 2701 256
m 14 ah 737 1298 2323 278
m 16 ah 679 1208 2630 192
m 17 ah 689 1064 2303 243
m 18 ah 702 1364 2498 342
m 19 ah 811 1355 2599 269
m 20 ah 744 1489 2586 272
m 21 ah 758 1363 2421 206
m 22 ah 784 1345 2522 287
m 23 ah 802 1297 2765 278
m 24 ah 803 1234 2430 258
m 25 ah 683 1238 2428 256
m 26 ah 697 1370 2597 271
m 27 ah 743 1423 2494 212
m 28 ah 710 1084 2753 154
m 29 ah 825 1438 2434 220
m 30 ah 673 1301 2433 290
m 31 ah 707 1421 2403 184
m 32 ah 697 1293 2461 216
m 33 ah 816 1361 2493 272
m 34 ah 722 1411 2264 250
m 35 ah 748 1274 2406 269
m 36 ah 744 1388 2541 252
m 37 ah 700 1295 2310 219
m 38 ah 705 1323 2643 192
m 39 ah 963 1524 2552 287
m 40 ah 711 1428 2413 254
m 41 ah 712 1325 2624 213
m 42 ah 821 1283 2498 292
m 44 ah 822 1315 2708 286
m 45 ah 753 1200 2677 285
m 47 ah 662 1183 2374 301
m 48 ah 682 1259 2618 207
m 49 ah 818 1315 2697 270
m 50 ah 710 1483 2575 250
w 01 ah 1012 1603 2767 265
w 02 ah 883 1682 2962 443
w 03 ah 1025 1548 2748 257
w 04 ah 804 1484 2789 350
w 05 ah 935 1377 2598 365
w 06 ah 804 1363 2803 329
w 07 ah 939 1233 2564 306
w 08 ah 827 1701 3056 317
w 09 ah 913 1436 2589 282
w 10 ah 856 1540 2667 367
w 11 ah 882 1380 2834 380
w 12 ah 887 1743 2557 343
w 13 ah 869 1495 2731 329
w 14 ah 994 1609 2930 275
w 15 ah 955 1615 2678 340
w 16 ah 1085 1687 2870 305
w 17 ah 937 1623 2844 267
w 19 ah 918 1640 2801 316
w 20 ah 818 1351 2933 365
w 21 ah 769 1451 2898 402
w 22 ah 1008 1495 3018 350
w 23 ah 905 1514 2848 329
w 24 ah 1063 1680 2785 303
w 25 ah 1053 1677 2868 430
w 26 ah 798 1351 2851 333
w 27 ah 869 1751 2762 284
w 28 ah 863 1538 3038 217
w 29 ah 938 1462 2825 303
w 30 ah 957 1591 2733 293
w 31 ah 827 1543 2980 315
w 32 ah 708 1547 2426 240
w 33 ah 1163 1685 3250 283
w 34 ah 1011 1541 2803 247
w 35 ah 1035 1486 2865 310
w 36 ah 952 1676 2862 455
w 37 ah 810 1314 3236 419
w 38 ah 993 1671 2751 336
w 39 ah 931 1348 2698 338
w 40 ah 822 1371 3130 297
w 41 ah 875 1491 2979 298
w 42 ah 884 1568 2819 268
w 44 ah 938 1492 2673 340
w 45 ah 914 1383 2854 312
w 46 ah 901 1509 2670 334
w 47 ah 975 1534 2658 302
w 48 ah 796 1502 2810 346
w 49 ah 1145 NaN 3272 326
w 50 ah 968 1433 2850 357
b 01 ah 831 1676 2602 212
b 02 ah 1020 1555 2742 328
b 03 ah 982 1823 2865 298
b 04 ah 932 1874 2994 357
b 05 ah 1052 1659 3433 270
b 07 ah 881 1543 3076 294
b 08 ah 762 1604 2991 340
b 09 ah 987 1610 3010 285
b 10 ah 1123 1640 2684 413
b 11 ah 832 1602 2551 282
b 12 ah 968 1808 3600 425
b 13 ah 933 1694 2860 273
b 14 ah 998 1560 2745 263
b 15 ah 871 2042 3410 340
b 16 ah 859 NaN 2789 364
b 17 ah 898 1544 2862 327
b 18 ah 1010 1705 2753 281
b 19 ah 951 1982 2807 292
b 21 ah 1010 1604 2588 363
b 22 ah 854 1518 2988 350
b 23 ah 1119 1588 3010 292
b 24 ah 1205 NaN 2708 238
b 25 ah 872 1565 2531 295
b 26 ah 776 1490 2730 314
b 27 ah 1147 1553 2877 270
b 28 ah 1065 1483 2723 271
b 29 ah 944 1540 2896 285
g 01 ah 894 1420 2828 276
g 02 ah 1312 1820 3308 298
g 04 ah 1007 1742 2982 324
g 05 ah 978 1817 2843 375
g 06 ah 1026 1544 2536 275
g 07 ah 843 1803 2562 384
g 08 ah 993 2000 3174 407
g 09 ah 1197 1734 3187 321
g 10 ah 855 1845 3055 282
g 11 ah 1047 1488 2879 298
g 12 ah 1154 1932 3044 317
g 13 ah 931 1749 3205 334
g 14 ah 954 1472 2844 308
g 15 ah 1316 1752 3113 299
g 17 ah 911 1624 3230 304
g 18 ah 1033 1929 3428 416
g 19 ah 1129 2005 2826 220
g 20 ah 1145 1655 3062 259
g 21 ah 1021 1720 3186 186
m 01 aw 699 996 2548 330
m 02 aw 644 856 2627 289
m 03 aw 647 926 2785 355
m 04 aw 694 970 2746 347
m 06 aw 740 999 2691 250
m 07 aw 642 949 2437 292
m 08 aw 651 1033 2477 294
m 09 aw 620 1068 2634 342
m 10 aw 637 923 2722 296
m 11 aw 695 1108 2384 363
m 13 aw 664 1024 2639 283
m 14 aw 664 1043 2575 248
m 16 aw 628 1069 2689 223
m 17 aw 634 987 2305 278
m 18 aw 662 1001 2744 320
m 19 aw 653 1020 2810 274
m 20 aw 648 1013 2473 287
m 21 aw 631 1019 2219 253
m 22 aw 688 1139 2549 316
m 23 aw 696 983 2603 292
m 24 aw 691 1111 2439 248
m 25 aw 587 941 2371 249
m 26 aw 636 978 2220 282
m 27 aw 686 1064 2432 171
m 28 aw 681 1060 2863 222
m 29 aw 720 1063 2369 226
m 30 aw 619 1012 2460 344
m 31 aw 640 1149 2227 196
m 32 aw 633 995 2500 195
m 33 aw 649 1048 2441 268
m 34 aw 623 1012 2506 239
m 35 aw 645 1049 2507 304
m 36 aw 645 1063 2565 300
m 37 aw 606 991 2135 202
m 38 aw 636 1108 2623 229
m 39 aw 670 919 2241 196
m 40 aw 631 1167 2344 281
m 41 aw 687 1062 2524 249
m 42 aw 684 1000 2576 328
m 44 aw 684 1001 2833 301
m 45 aw 704 1052 2749 293
m 47 aw 591 974 2325 300
m 48 aw 611 1067 2491 242
m 49 aw 643 931 2630 293
m 50 aw 679 1102 2424 277
w 01 aw 815 1200 2783 305
w 02 aw 760 1225 2796 464
w 03 aw 772 1051 2870 326
w 04 aw 770 1245 2811 379
w 05 aw 923 1368 2503 363
w 06 aw 778 1220 2677 363
w 07 aw 809 1097 2646 314
w 08 aw 815 1426 2990 320
w 09 aw 890 1063 2523 309
w 10 aw 771 1170 2760 416
w 11 aw 755 1114 2766 380
w 12 aw 930 1422 2489 397
w 13 aw 697 1142 2507 363
w 14 aw 748 1063 2876 266
w 15 aw 827 1189 2633 394
w 16 aw 847 1192 2999 342
w 17 aw 794 1185 2896 341
w 19 aw 848 1175 2892 327
w 20 aw 713 1132 2948 344
w 21 aw 698 1127 2886 465
w 22 aw 736 1120 3055 318
w 23 aw 835 1326 2667 362
w 24 aw 907 1527 3075 366
w 25 aw 811 1254 2824 414
w 26 aw 656 1075 2684 378
w 27 aw 890 1292 2801 284
w 28 aw 860 1504 2834 262
w 29 aw 740 1037 2736 327
w 30 aw 867 1207 2746 319
w 31 aw 776 1324 2852 384
w 32 aw 699 1104 2513 287
w 33 aw 906 1386 3066 328
w 34 aw 814 1144 2729 253
w 35 aw 801 1187 2935 331
w 36 aw 822 1177 2950 422
w 37 aw 851 1105 3249 413
w 38 aw 825 1213 2751 327
w 39 aw 752 1101 2616 369
w 40 aw 765 997 3477 303
w 41 aw 957 NaN 3066 332
w 42 aw 799 1146 2770 387
w 44 aw 715 963 2455 390
w 45 aw 790 1044 2933 351
w 46 aw 850 1182 2909 396
