iy ih eh ae ah aw oo uw uh er ey oa
iy NA 466 331 391 361 476 77 370 300 298 549 518
ih NA NA 449 639 438 327 64 235 492 194 368 380
eh NA NA NA 305 249 238 50 134 250 153 281 239
ae NA NA NA NA 438 202 58 172 436 173 284 269
ah NA NA NA NA NA 174 72 150 323 161 231 231
aw NA NA NA NA NA NA 66 186 193 237 322 287
oo NA NA NA NA NA NA NA 18 20 46 66 29
uw NA NA NA NA NA NA NA NA 134 85 280 275
uh NA NA NA NA NA NA NA NA NA 134 234 205
er NA NA NA NA NA NA NA NA NA NA 214 179
ey NA NA NA NA NA NA NA NA NA NA NA 417
oa NA NA NA NA NA NA NA NA NA NA NA NA
