
i	ɪ	e	æ	ɑ	ɒ	ɔ	ʊ	u	ʌ	ɜ	ə	eɪ	aɪ	ɔɪ	əʊ	aʊ	ɪə	eə	ʊə
i	*	466	331	391	312	361	476	77	370	300	298	66	549	525	98	518	154	125	139	38
ɪ	4	*	449	639	227	438	327	64	235	492	194	365	368	296	62	380	98	24	29	7
e	4	5	*	305	148	249	238	50	134	250	153	36	281	241	59	239	118	33	30	11

æ	2	3	5	*	184	438	202	58	172	436	173	11	284	275	33	269	118	24	33	9
ɑ	3	2	3	4	*	184	225	39	92	177	156	11	209	146	48	201	64	62	73	31
ɒ	2	3	3	4	4	*	174	72	150	323	161	3	231	190	24	231	100	27	19	8
ɔ	2	1	1	2	4	4	*	66	186	193	237	21	322	272	93	287	131	131	168	36
ʊ	1	3	3	3	2	5	4	*	18	20	46	1	66	50	3	29	14	6	8	3	

u	2	1	1	1	2	3	4	4	*	134	85	15	280	260	50	275	118	53	66	19	

ʌ	2	4	4	5	4	4	3	4	2	*	134	4	234	180	30	205	92	19	24	8	

ɜ	4	3	3	4	5	3	4	3	3	4	*	8	214	175	35	179	75	45	54	14
ə	3	5	4	5	3	4	2	4	2	5	5	*	90	22	4	67	3	1	8	4	

eɪ	4	4	5	4	3	1	1	1	1	3	4	4	*	405	108	417	187	77	82	22	

aɪ	3	2	3	4	4	3	3	2	2	4	4	4	4	*	59	341	192	81	96	19	

ɔɪ	3	1	1	2	3	4	5	4	4	3	3	3	3	4	*	92	39	29	18	11
əʊ	2	1	2	2	3	4	4	4	3	3	4	4	3	3	3	*	134	77	96	20
aʊ	1	1	2	3	4	4	4	3	3	4	3	3	2	4	3	5	*	41	33	12
ɪə	4	5	4	3	2	1	1	1	1	2	3	3	4	2	1	2	1	*	100	27
eə	3	4	5	4	3	2	1	1	1	3	4	4	5	3	1	3	2	5	*	26
ʊə	1	1	1	1	3	4	4	5	5	3	3	2	2	1	4	3	3	2	2	*
