gender id vowel accuracy iy ih ei eh ae ah aw oa oo uw uh er vote
m 01 ae 95.0 0 0 0 1 19 0 0 0 0 0 0 0 ae
m 01 ah 95.0 0 0 0 0 0 19 1 0 0 0 0 0 ah
m 01 aw 95.0 0 0 0 0 0 1 19 0 0 0 0 0 aw
m 01 eh 100.0 0 0 0 20 0 0 0 0 0 0 0 0 eh
m 01 ei 100.0 0 0 20 0 0 0 0 0 0 0 0 0 ei
m 01 er 100.0 0 0 0 0 0 0 0 0 0 0 0 20 er
m 01 ih 100.0 0 20 0 0 0 0 0 0 0 0 0 0 ih
m 01 iy 100.0 20 0 0 0 0 0 0 0 0 0 0 0 iy
m 01 oa 100.0 0 0 0 0 0 0 0 20 0 0 0 0 oa
m 01 oo 100.0 0 0 0 0 0 0 0 0 20 0 0 0 oo
m 01 uh 95.0 0 0 0 0 0 0 0 0 1 0 19 0 uh
m 01 uw 100.0 0 0 0 0 0 0 0 0 0 20 0 0 uw
m 02 ae 95.0 0 0 0 1 19 0 0 0 0 0 0 0 ae
m 02 ah 95.0 0 0 0 0 0 19 1 0 0 0 0 0 ah
m 02 aw 95.0 0 0 0 0 0 1 19 0 0 0 0 0 aw
m 02 eh 95.0 0 0 0 19 1 0 0 0 0 0 0 0 eh
m 02 ei 100.0 0 0 20 0 0 0 0 0 0 0 0 0 ei
m 02 er 100.0 0 0 0 0 0 0 0 0 0 0 0 20 er
m 02 ih 100.0 0 20 0 0 0 0 0 0 0 0 0 0 ih
m 02 iy 95.0 19 0 1 0 0 0 0 0 0 0 0 0 iy
m 02 oa 100.0 0 0 0 0 0 0 0 20 0 0 0 0 oa
m 02 oo 100.0 0 0 0 0 0 0 0 0 20 0 0 0 oo
m 02 uh 65.0 0 0 0 0 0 0 7 0 0 0 13 0 uh
m 02 uw 100.0 0 0 0 0 0 0 0 0 0 20 0 0 uw
m 03 ae 95.0 0 0 0 1 19 0 0 0 0 0 0 0 ae
m 03 ah 70.0 0 0 0 0 0 14 6 0 0 0 0 0 ah
m 03 aw 95.0 0 0 0 0 0 1 19 0 0 0 0 0 aw
m 03 eh 65.0 0 0 0 13 7 0 0 0 0 0 0 0 eh
m 03 ei 100.0 0 0 20 0 0 0 0 0 0 0 0 0 ei
m 03 er 100.0 0 0 0 0 0 0 0 0 0 0 0 20 er
m 03 ih 95.0 0 19 0 1 0 0 0 0 0 0 0 0 ih
m 03 iy 100.0 20 0 0 0 0 0 0 0 0 0 0 0 iy
m 03 oa 100.0 0 0 0 0 0 0 0 20 0 0 0 0 oa
m 03 oo 100.0 0 0 0 0 0 0 0 0 20 0 0 0 oo
m 03 uh 50.0 0 0 0 0 0 4 6 0 0 0 10 0 uh
m 03 uw 100.0 0 0 0 0 0 0 0 0 0 20 0 0 uw
m 04 ae 100.0 0 0 0 0 20 0 0 0 0 0 0 0 ae
m 04 ah 90.0 0 0 0 0 0 18 2 0 0 0 0 0 ah
m 04 aw 100.0 0 0 0 0 0 0 20 0 0 0 0 0 aw
m 04 eh 30.0 0 0 0 6 14 0 0 0 0 0 0 0 ae
m 04 ei 100.0 0 0 20 0 0 0 0 0 0 0 0 0 ei
m 04 er 100.0 0 0 0 0 0 0 0 0 0 0 0 20 er
m 04 ih 100.0 0 20 0 0 0 0 0 0 0 0 0 0 ih
m 04 iy 100.0 20 0 0 0 0 0 0 0 0 0 0 0 iy
m 04 oa 100.0 0 0 0 0 0 0 0 20 0 0 0 0 oa
