Vowel iy ih ei eh ae ah aw oa oo uw uh er
"ae" 0 0 0.0215827338129496 1.20863309352518 18.7194244604317 0.0359712230215827 0.00719424460431655 0.00719424460431655 0 0 0 0
"ah" 0.00719424460431655 0.00719424460431655 0 0.0143884892086331 0.158273381294964 18.273381294964 0.877697841726619 0.0215827338129496 0.0215827338129496 0.00719424460431655 0.60431654676259 0.00719424460431655
"aw" 0 0 0.00719424460431655 0.0287769784172662 0.00719424460431655 3.02158273381295 16.1438848920863 0.00719424460431655 0.0215827338129496 0.00719424460431655 0.741007194244604 0.0143884892086331
"eh" 0.00719424460431655 0.179856115107914 0.0287769784172662 18.5611510791367 1.09352517985612 0.0287769784172662 0.0143884892086331 0 0.0215827338129496 0 0.0503597122302158 0.00719424460431655
"ei" 0.0647482014388489 0.0503597122302158 19.7553956834532 0.079136690647482 0.0215827338129496 0.0143884892086331 0.0143884892086331 0 0 0 0 0
"er" 0.00719424460431655 0.00719424460431655 0.00719424460431655 0.00719424460431655 0.0143884892086331 0 0 0 0.0287769784172662 0 0.0359712230215827 19.8920863309353
"ih" 0 19.4820143884892 0.0503597122302158 0.438848920863309 0.0143884892086331 0 0 0.00719424460431655 0 0.00719424460431655 0 0
"iy" 19.9136690647482 0.0287769784172662 0.0359712230215827 0 0.00719424460431655 0 0 0 0.00719424460431655 0.00719424460431655 0 0
"oa" 0 0 0.00719424460431655 0.0143884892086331 0 0.0287769784172662 0.0143884892086331 19.7625899280576 0.0863309352517986 0.0287769784172662 0.00719424460431655 0.0503597122302158
"oo" 0.00719424460431655 0 0 0.0143884892086331 0 0.00719424460431655 0.00719424460431655 0.00719424460431655 19.294964028777 0.359712230215827 0.23021582733813 0.0719424460431655
"uh" 0.00719424460431655 0 0 0.00719424460431655 0.0143884892086331 0.841726618705036 0.568345323741007 0.0287769784172662 0.532374100719424 0.0215827338129496 17.9640287769784 0.0143884892086331
"uw" 0 0.0935251798561151 0.00719424460431655 0.00719424460431655 0 0 0 0.115107913669065 0.388489208633094 19.3669064748201 0 0.0215827338129496
